Real_Date,val,RegionName,field,RegionLat,RegionLon,source,Real_Date
2014-11-10,9.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2014-11-10
2014-12-10,11.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2014-12-10
2015-01-09,9.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-01-09
2015-02-08,10.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-02-08
2015-03-10,6.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-03-10
2015-04-09,9.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-04-09
2015-05-09,13.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-05-09
2015-06-08,14.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-06-08
2015-07-08,11.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-07-08
2015-08-07,10.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-08-07
2015-09-12,7.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-09-12
2015-10-12,12.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-10-12
2015-11-11,12.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-11-11
2015-12-11,10.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2015-12-11
2016-01-10,18.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-01-10
2016-02-09,33.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-02-09
2016-03-10,20.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-03-10
2016-04-09,54.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-04-09
2016-05-09,11.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-05-09
